20099899;55378311;23028498;12/02/2012;19:38:25;72.0;72.0;connexion 3G/3G+
20099899;55378311;23028498;12/02/2012;17:06:41;22.0;22.0;connexion 3G/3G+
20099899;55378311;23028498;12/02/2012;17:06:28;18.0;18.0;connexion 3G/3G+
20099899;55378311;23028498;12/02/2012;17:00:25;00:05:57;00:05:57;numéro d'appel spécial
20099899;55378311;23028498;12/02/2012;16:59:47;2.0;2.0;connexion 3G
20099899;55378311;23028498;10/02/2012;17:16:15;8.0;8.0;connexion 3G
20099899;55378311;23028498;10/02/2012;16:57:25;1.0;1.0;connexion 3G
20099899;55378311;23028498;10/02/2012;16:49:04;1.0;1.0;connexion 3G
20099899;55378311;23028498;10/02/2012;16:48:44;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;16:48:14;00:00:24;00:00:24;appel vers SFR
20099899;55378311;23028498;10/02/2012;16:18:39;2.0;2.0;connexion 3G
20099899;55378311;23028498;10/02/2012;15:23:29;3.0;3.0;connexion 3G
20099899;55378311;23028498;10/02/2012;14:33:02;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;14:21:39;1.0;1.0;connexion 3G
20099899;55378311;23028498;10/02/2012;13:36:20;2.0;2.0;connexion 3G
20099899;55378311;23028498;10/02/2012;13:21:48;2.0;2.0;connexion 3G
20099899;55378311;23028498;10/02/2012;12:13:54;9.0;9.0;connexion 3G
20099899;55378311;23028498;10/02/2012;11:44:20;2.0;2.0;connexion 3G
20099899;55378311;23028498;10/02/2012;11:41:26;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;11:26:50;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;09:29:07;5.0;5.0;connexion 3G
20099899;55378311;23028498;10/02/2012;09:12:41;1.0;1.0;connexion 3G
20099899;55378311;23028498;10/02/2012;09:08:21;12.0;12.0;connexion 3G
20099899;55378311;23028498;10/02/2012;09:01:50;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;08:51:11;1.0;1.0;connexion 3G
20099899;55378311;23028498;10/02/2012;08:51:01;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;10/02/2012;08:46:59;00:03:51;00:03:51;appel vers SFR
20099899;55378311;23028498;10/02/2012;08:43:51;00:00:12;00:00:12;appel vers SFR
20099899;55378311;23028498;10/02/2012;08:43:37;2.0;2.0;connexion 3G
